"";"dates";"serie2"
"125";2018-05-18;69.9808043710277
"126";2018-05-25;68.9622499579428
"127";2018-06-01;68.5946073517723
"128";2018-06-08;68.6100059053219
"129";2018-06-15;70.3563519516343
"130";2018-06-22;71.5863900747455
"131";2018-06-29;71.9569672137909
"132";2018-07-06;70.8562884901346
"133";2018-07-13;69.63747887811
"134";2018-07-20;69.0276144166413
"135";2018-07-27;68.600771785284
"136";2018-08-03;69.0206334856027
"137";2018-08-10;70.491252414051
"138";2018-08-17;70.3833266369121
"139";2018-08-24;72.2773263320318
"140";2018-08-31;71.4455446340235
"141";2018-09-07;71.3653108098025
"142";2018-09-14;73.5915986176118
"143";2018-09-21;75.0824458055091
"144";2018-09-28;74.7160246580136
"145";2018-10-05;72.6395995161986
"146";2018-10-12;72.0779322695917
"147";2018-10-19;71.8889672573719
"148";2018-10-26;71.6993792704432
"149";2018-11-02;71.9699446493929
"150";2018-11-09;71.5643765240405
"151";2018-11-16;74.2508636610221
"152";2018-11-23;76.3048462561658
"153";2018-11-30;76.8986092712861
"154";2018-12-07;76.1951870092429
"155";2018-12-14;74.0171022660536
"156";2018-12-21;73.4958739848
"157";2018-12-28;72.5164608997613
"158";2019-01-04;71.1909181110646
"159";2019-01-11;72.6895511657758
"160";2019-01-18;72.1801787814467
"161";2019-01-25;71.8909883669138
"162";2019-02-01;70.8741556918892
"163";2019-02-08;69.9298795886358
"164";2019-02-15;70.7703419173149
"165";2019-02-22;69.9605227027639
"166";2019-03-01;70.1415655524018
"167";2019-03-08;69.9559671773149
"168";2019-03-15;69.2182423541956
"169";2019-03-22;69.6071686381062
"170";2019-03-29;69.9574166549999
"171";2019-04-05;70.2222038644233
"172";2019-04-12;71.7434656032256
"173";2019-04-19;72.9180426701824
"174";2019-04-26;73.1291400682854
"175";2019-05-03;72.9094031641299
"176";2019-05-10;71.7270899330826
"177";2019-05-17;71.1723053842941
"178";2019-05-24;72.2590884955481
"179";2019-05-31;72.7158026600518
"180";2019-06-07;72.9493025257462
"181";2019-06-14;74.624789653182
"182";2019-06-21;73.8547349373413
"183";2019-06-28;74.0971943236637
"184";2019-07-05;75.102726656518
"185";2019-07-12;73.7547909012271
"186";2019-07-19;72.7720201147325
"187";2019-07-26;71.5027927426259
"188";2019-08-02;70.8461015115827
"189";2019-08-09;69.9096111982892
"190";2019-08-16;69.2639516100665
"191";2019-08-23;71.0453102820768
"192";2019-08-30;72.6925655159341
"193";2019-09-06;74.0835719624618
"194";2019-09-13;75.4074350982633
"195";2019-09-20;74.5268755275764
"196";2019-09-27;74.2754702031004
"197";2019-10-04;73.2893307030305
"198";2019-10-11;72.192558771143
"199";2019-10-18;72.5880971393957
"200";2019-10-25;72.6418674717731
